id;client_number;first_name;last_name;date_of_birth;document_type;document_number;email;phone
1;22380;Brennon;Murazik;2025-10-23;PASSPORT;whenever;Alvena.Mertz64@hotmail.com;(579) 346-0836 x45332
2;10939;Mervin;Hilpert;2025-10-23;OTHER;absent;Warren81@yahoo.com;625.455.9834 x3805
3;29191;Okey;West;2025-10-23;NATIONAL_ID;tangible neck;Krystel76@yahoo.com;999-559-8286 x63954
4;31876;Joesph;Kub;2025-10-23;PASSPORT;likely while publication;Xavier2@hotmail.com;1-598-588-4152 x12713
5;883;Declan;Spinka;2025-10-23;NATIONAL_ID;whirlwind upside-down sheepishly;Judson_Gutkowski@hotmail.com;(679) 628-3450
6;30194;Nash;Zulauf;2025-10-23;OTHER;sunder;Alex_Lemke@gmail.com;1-995-254-3264 x10413
7;14195;Jo;Grady;2025-10-23;RESIDENCE_PERMIT;opposite;Judson.Wiegand60@yahoo.com;964-594-2539 x604
8;27528;Arne;Nitzsche;2025-10-23;OTHER;joshingly;Luigi_Jakubowski@gmail.com;497.231.3256 x004
9;27951;Duane;Davis;2025-10-23;OTHER;during although yum;Chester36@yahoo.com;716.305.5736 x68164
10;26087;Davon;Boehm;2025-10-22;RESIDENCE_PERMIT;vice;Armando31@yahoo.com;(392) 843-1402
